Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",96.355000,-99.861000,180.000000,top
"C2","1uF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",134.455000,-94.019000,180.000000,top
"C3","100nF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",96.355000,-93.765000,180.000000,top
"C4","100nF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",96.355000,-91.733000,180.000000,top
"C5","100uF","CASE-C_6032",86.195000,-98.210000,-90.000000,top
"C6","330uF","CASE-C_6032",90.005000,-98.210000,-90.000000,top
"C7","100nF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",83.401000,-98.464000,-90.000000,top
"C8","100nF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",92.799000,-98.464000,-90.000000,top
"C9","20pF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",105.499000,-105.322000,0.000000,top
"C10","100nF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",96.355000,-97.829000,180.000000,top
"C11","100nF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",96.355000,-95.797000,180.000000,top
"C12","20pF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",105.499000,-108.497000,0.000000,top
"C13","20pF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",131.407000,-104.687000,90.000000,top
"C14","20pF","0603_1608METRIC_PAD1.05X0.95MM_HANDSOLDER",125.565000,-104.687000,90.000000,top
"D1","SS110-A","SMA(DO-214AC)",84.417000,-83.478000,0.000000,top
"H1","HDR-F-2.54_1x8","HDR-F-2.54_1X8",172.936000,-83.351000,0.000000,top
"H2","HDR-F-2.54_1x8","HDR-F-2.54_1X8",197.320000,-83.351000,0.000000,top
"H3","THR_CONN-T","HDR-F-2.54_1X8",185.382000,-113.450000,0.000000,top
"H4","HDR-F-2.54_1x8","HDR-F-2.54_1X8",133.439000,-83.097000,180.000000,top
"H5","ADC_S","HDR-F-2.54_1X2",118.707000,-83.224000,0.000000,top
"H6","HDR-F-2.54_1x3","HDR-F-2.54_1X3",205.829000,-113.475000,0.000000,top
"H7","GND_BAR-S","HDR-F-2.54_1X6",160.109000,-97.321000,-90.000000,top
"H8","GND_BAR-T","HDR-F-2.54_1X6",209.512000,-97.321000,90.000000,top
"H9","THR_CONN-S","HDR-F-2.54_1X8",104.610000,-113.958000,0.000000,top
"H10","HDR-F-2.54_1x8","HDR-F-2.54_1X8",132.169000,-113.958000,0.000000,top
"LED3","KT-0603R","LED0603-R-RD",92.672000,-112.688000,0.000000,top
"LED4","KT-0603R","LED0603-R-RD",119.977000,-112.561000,90.000000,top
"P1","HDR-IDC-2.54-2X3P","HEADER-2.54-P2x3",111.468000,-85.637000,0.000000,top
"P2","SWD","HEADER-2.54-P4-ANG",99.530000,-83.097000,0.000000,top
